--- Log Session Started: 2026-01-24 02:43:41 ---
[Watcher] Using Portable Tesseract: D:\ML\lol-overlay\backend\Tesseract-OCR\tesseract.exe
[Server] ✅ 빌드 데이터 로드 완료 (172 champions)
--- Starting Background Threads ---
[Server] AugmentWatcher Thread Starting (Attempt 1)...
[Server] GameFlow Monitor Started...
[Server] 🛡️ 상점 감시 스레드 시작 (좀비 모드)
[Watcher] Button template loaded: D:\ML\lol-overlay\backend\assets\augment_confirm_button.png
[Watcher] Loaded 153 valid augment names.
[Watcher] OCR Monitoring started (Button Detection Mode)...[Server] AugmentWatcher Started Successfully.

WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
[GameFlow] None -> Lobby
[GameFlow] Lobby -> ChampSelect
[Server] 🔄 상태 초기화
[GameFlow] ChampSelect -> InProgress
[Server] 🎮 게임 중 챔피언 재확인 완료: Belveth
127.0.0.1 - - [24/Jan/2026 02:46:24] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:24] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:24] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:25] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:25] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:25] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:25] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:26] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:26] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:26] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:26] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:27] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:27] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:27] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:27] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:28] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:28] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:28] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:28] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:29] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:29] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:29] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:29] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:30] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:30] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:30] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:30] "GET /augments/current HTTP/1.1" 200 -
